Preferred Label,Parents,Word Count,Frequency
Waste_managment_facility,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,3,2086
Industrial_noise_pollution,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_workplace,3,0
Ozone_Depeletion,http://www.co-ode.org/ontologies/ont.owl#Trans_boundary_pollution,2,0
Airborne_disease_transmission_in_public_spaces,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,6,49
Built_in_environment,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,3,16514
genetic_predisposition_disease,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,3,4
Respiratory_disease,http://www.co-ode.org/ontologies/ont.owl#Chronic_Disease,2,18114
Alcohol_consumption_effects,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,3,3
Exposure_to_pollutants_workplace,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,4,715
Construction_dust_hazrad,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_workplace,3,0
Mental_health_support_in_workplace,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,5,2552
Home_as_microenvironment,http://www.co-ode.org/ontologies/ont.owl#At_the_microenvironmental_level,3,227
Exposure_to_pollutants_home,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,4,1329
Lead_pipes_workplace,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_workplace,3,0
workplace_as_macroenvironment,http://www.co-ode.org/ontologies/ont.owl#At_the_microenvironmental_level,3,1
Access_to_clean_bathrooms_at_work,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,6,7
At_the_microenvironmental_level,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,4,832
Trans_boundary_pollution,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,3,2
land_use_planning,http://www.co-ode.org/ontologies/ont.owl#Built_in_environment,3,461
Asbestos_Exposure_home,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,3,10
policy_governance_effect,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,3,15797
Access_to_clean_Water,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,4,227
Exposure_to_toxins_home,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,4,67
housing_quality,http://www.co-ode.org/ontologies/ont.owl#Built_in_environment,2,283
Chronic_Disease,http://www.co-ode.org/ontologies/ont.owl#Health_outcomes,2,51713
acid_rain,http://www.co-ode.org/ontologies/ont.owl#Trans_boundary_pollution,2,386
Radon_Exposure_through_soil,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,4,83
Cleaning_chemical_risk,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,3,836
Erosion_in_irrigation_channels,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,4,3
Infectious_disease,http://www.co-ode.org/ontologies/ont.owl#Health_outcomes,2,79650
Environmental_triggers_Asthma,http://www.co-ode.org/ontologies/ont.owl#genetic_predisposition_disease,3,534
Tobacco_smoking_impact,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,3,3888
regulations_on_air_Quality,http://www.co-ode.org/ontologies/ont.owl#policy_governance_effect,4,3491
Thermal_comfort_in_home,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,4,51
